2022-02-15 04:29:15.972 ERROR 2010 --- [XNIO-1 task-27] l.server.io.HandshakeInterceptorImpl     : Authentication failed from /8.26.182.130:50256
2022-02-15 04:29:18.408 ERROR 2010 --- [XNIO-1 task-20] l.server.io.HandshakeInterceptorImpl     : Authentication failed from /209.141.51.222:18006
2022-02-15 14:06:05.035  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:08.276  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"sessionId":"9597f9313a5514ce9aa858b3011b7254","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"df0c14c56d55972a","guild_id":"938704039804272660","endpoint":"rotterdam8905.discord.media:443"}}
2022-02-15 14:06:08.278  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"sessionId":"140792ac450d2dbea5e47f78e0cf3eaf","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"09bf49f06bb95b0b","guild_id":"938704039804272660","endpoint":"rotterdam8905.discord.media:443"}}
2022-02-15 14:06:08.280  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"sessionId":"6b83d499c2bcee54aa5bed41ef805e31","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"f594fbfde14c3965","guild_id":"938704039804272660","endpoint":"rotterdam8905.discord.media:443"}}
2022-02-15 14:06:13.423  INFO 2010 --- [XNIO-1 task-12] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:13.428  INFO 2010 --- [XNIO-1 task-13] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:13.431  INFO 2010 --- [XNIO-1 task-16] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:13.788  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-146] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:13.789  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:13.792  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:13.797  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:13.806  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-148] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:13.811  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:27.412  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"pause","guildId":"938704039804272660","pause":true}
2022-02-15 14:06:27.412  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"sessionId":"574c07e00a746e06e1e1751ffad55457","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"3a4d81b316bd6332","guild_id":"938704039804272660","endpoint":"rotterdam3338.discord.media:443"}}
2022-02-15 14:06:27.413  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"pause","guildId":"938704039804272660","pause":false}
2022-02-15 14:06:27.529  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"sessionId":"574c07e00a746e06e1e1751ffad55457","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"3a4d81b316bd6332","guild_id":"938704039804272660","endpoint":"rotterdam3928.discord.media:443"}}
2022-02-15 14:06:27.530  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"sessionId":"574c07e00a746e06e1e1751ffad55457","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"3a4d81b316bd6332","guild_id":"938704039804272660","endpoint":"rotterdam3928.discord.media:443"}}
2022-02-15 14:06:33.127  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 14:06:33.137  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 14:06:36.953  INFO 2010 --- [XNIO-1 task-23] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:36.960  INFO 2010 --- [XNIO-1 task-24] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:37.351  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-146] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:37.357  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:37.380  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:37.383  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:48.698  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 14:06:48.708  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 14:06:48.708  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 14:06:48.709  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 14:06:48.723  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"stop","guildId":"938704039804272660"}
2022-02-15 14:06:52.416  INFO 2010 --- [XNIO-1 task-18] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:52.419  INFO 2010 --- [XNIO-1 task-21] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:52.421  INFO 2010 --- [XNIO-1 task-27] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:52.425  INFO 2010 --- [XNIO-1 task-25] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:52.431  INFO 2010 --- [XNIO-1 task-20] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:06:52.803  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-150] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:52.807  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:52.812  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-151] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:52.814  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:52.821  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:52.824  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:52.825  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-146] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:52.828  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:53.194  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-150] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:06:53.198  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:06:59.133  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"pause","guildId":"938704039804272660","pause":true}
2022-02-15 14:06:59.134  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"sessionId":"b1bc38f5c4b299415af8510bf61bbe3e","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"ca9b274304945811","guild_id":"938704039804272660","endpoint":"rotterdam3338.discord.media:443"}}
2022-02-15 14:06:59.134  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"pause","guildId":"938704039804272660","pause":false}
2022-02-15 14:06:59.219  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"sessionId":"b1bc38f5c4b299415af8510bf61bbe3e","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"ca9b274304945811","guild_id":"938704039804272660","endpoint":"rotterdam3928.discord.media:443"}}
2022-02-15 14:06:59.269  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"sessionId":"b1bc38f5c4b299415af8510bf61bbe3e","op":"voiceUpdate","guildId":"938704039804272660","event":{"token":"ca9b274304945811","guild_id":"938704039804272660","endpoint":"rotterdam3928.discord.media:443"}}
2022-02-15 14:07:05.204  INFO 2010 --- [XNIO-1 task-3] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:07:05.206  INFO 2010 --- [XNIO-1 task-30] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:07:05.210  INFO 2010 --- [XNIO-1 task-32] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:07:05.221  INFO 2010 --- [XNIO-1 task-4] l.server.player.AudioLoaderRestHandler   : Got request to load for identifier "ytsearch:العواطف"
2022-02-15 14:07:05.533  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-151] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:07:05.543  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-139] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:07:05.555  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-150] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:07:05.620  INFO 2010 --- [lava-daemon-pool-info-loader-2-thread-146] lavalink.server.player.AudioLoader       : Loaded playlist Search results for: العواطف
2022-02-15 14:11:21.238  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:11:21.259  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:11:21.712  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:11:21.838  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : {"op":"play","guildId":"938704039804272660","track":"QAAAzgIASNit2LPZitmGINi62LLYp9mEIC0g2KfZhNi52YjYp9i32YEgfCDZgdmK2K/ZitmIINmD2YTZitioINit2LXYsdmKIHwgMjAyMQAsU2hhYmFiIEFscWl0aGFyYSB8INi02KjYp9ioINin2YTZgtmK2KvYp9ix2KkAAAAAAAQayAALT2hSXzNCTUIwRTAAAQAraHR0cHM6Ly93d3cueW91dHViZS5jb20vd2F0Y2g/dj1PaFJfM0JNQjBFMAAHeW91dHViZQAAAAAAAAAA"}
2022-02-15 14:48:51.418  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:58770 -- CloseStatus[code=1006, reason=]
2022-02-15 14:48:51.419  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:48:51.425  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:58780 -- CloseStatus[code=1006, reason=]
2022-02-15 14:48:51.425  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:48:53.418  INFO 2010 --- [XNIO-1 task-9] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38470
2022-02-15 14:48:53.421  INFO 2010 --- [XNIO-1 task-9] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:48:53.584  INFO 2010 --- [XNIO-1 task-8] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38480
2022-02-15 14:48:53.586  INFO 2010 --- [XNIO-1 task-8] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:53:34.909  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38470 -- CloseStatus[code=1006, reason=]
2022-02-15 14:53:34.909  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:53:34.913  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38480 -- CloseStatus[code=1006, reason=]
2022-02-15 14:53:34.913  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:53:36.815  INFO 2010 --- [XNIO-1 task-10] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38558
2022-02-15 14:53:36.822  INFO 2010 --- [XNIO-1 task-10] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:53:37.016  INFO 2010 --- [XNIO-1 task-11] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38568
2022-02-15 14:53:37.019  INFO 2010 --- [XNIO-1 task-11] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:55:11.316  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38558 -- CloseStatus[code=1006, reason=]
2022-02-15 14:55:11.316  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:55:11.318  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38568 -- CloseStatus[code=1006, reason=]
2022-02-15 14:55:11.319  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:55:13.401  INFO 2010 --- [XNIO-1 task-12] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38646
2022-02-15 14:55:13.403  INFO 2010 --- [XNIO-1 task-12] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:55:13.511  INFO 2010 --- [XNIO-1 task-13] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38656
2022-02-15 14:55:13.513  INFO 2010 --- [XNIO-1 task-13] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:57:26.983  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38646 -- CloseStatus[code=1006, reason=]
2022-02-15 14:57:26.984  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:57:26.987  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38656 -- CloseStatus[code=1006, reason=]
2022-02-15 14:57:26.988  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:57:28.915  INFO 2010 --- [XNIO-1 task-16] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38732
2022-02-15 14:57:28.917  INFO 2010 --- [XNIO-1 task-16] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:57:29.312  INFO 2010 --- [XNIO-1 task-15] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38742
2022-02-15 14:57:29.314  INFO 2010 --- [XNIO-1 task-15] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:59:40.912  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38742 -- CloseStatus[code=1006, reason=]
2022-02-15 14:59:40.913  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:59:40.916  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38732 -- CloseStatus[code=1006, reason=]
2022-02-15 14:59:40.916  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 14:59:42.863  INFO 2010 --- [XNIO-1 task-14] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38820
2022-02-15 14:59:42.865  INFO 2010 --- [XNIO-1 task-14] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 14:59:43.034  INFO 2010 --- [XNIO-1 task-17] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38830
2022-02-15 14:59:43.036  INFO 2010 --- [XNIO-1 task-17] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 15:02:45.231  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38820 -- CloseStatus[code=1006, reason=]
2022-02-15 15:02:45.231  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 15:02:45.234  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38830 -- CloseStatus[code=1006, reason=]
2022-02-15 15:02:45.234  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 15:02:47.226  INFO 2010 --- [XNIO-1 task-23] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38912
2022-02-15 15:02:47.228  INFO 2010 --- [XNIO-1 task-23] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 15:02:47.491  INFO 2010 --- [XNIO-1 task-24] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:38922
2022-02-15 15:02:47.494  INFO 2010 --- [XNIO-1 task-24] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
2022-02-15 15:05:31.911  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38912 -- CloseStatus[code=1006, reason=]
2022-02-15 15:05:31.911  INFO 2010 --- [XNIO-1 I/O-2] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 15:05:31.913  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketServer          : Connection closed from /0:0:0:0:0:0:0:1:38922 -- CloseStatus[code=1006, reason=]
2022-02-15 15:05:31.913  INFO 2010 --- [XNIO-1 I/O-4] lavalink.server.io.SocketContext         : Shutting down 0 playing players.
2022-02-15 15:05:34.148  INFO 2010 --- [XNIO-1 task-19] l.server.io.HandshakeInterceptorImpl     : Incoming connection from /0:0:0:0:0:0:0:1:39000
2022-02-15 15:05:34.150  INFO 2010 --- [XNIO-1 task-19] lavalink.server.io.SocketServer          : Connection successfully established from erela.js
